text,difficulty
What is the onCacheEntryAdded lifecycle?,Hard
What is cacheDataLoaded in onCacheEntryAdded?,Hard
What is cacheEntryRemoved in onCacheEntryAdded?,Hard
What is the enhanceEndpoints utility?,Hard
What is the API slice's middleware?,Medium
What is RTK Query refetchOnMountOrArgChange?,Hard
What is RTK Query automatic polling?,Medium
What is the skipToken for RTK Query?,Hard
What is RTK Query's lazy query?,Medium
What is RTKQ's streaming updates?,Hard
What is the invalidation cascade in RTK Query?,Hard
What is the optimistic update undo in RTK Query?,Hard
What is the focused invalidation in RTK Query?,Hard
What is the bundle analyzer webpack plugin?,Medium
What is source-map-explorer?,Medium
What is rollup-plugin-visualizer?,Medium
What is the vite-bundle-visualizer?,Medium
What is next/bundle-analyzer?,Medium
What is the performance budget?,Medium
What is the performance.measureUserAgentSpecificMemory API?,Hard
What is the Memory tab in Chrome DevTools?,Medium
What is a memory leak detection strategy in React?,Hard
What is the reason React.memo doesn't help with context?,Hard
What is the useMemo for expensive renders pattern?,Hard
What is the windowing threshold?,Hard
What is overscan in list virtualization?,Medium
What is dynamic row height in virtualization?,Hard
What is TanStack Virtual?,Medium
What is the intersection observer for lazy images?,Medium
What is next/image optimization?,Medium
What is the blurDataURL prop?,Medium
What is the priority prop on next/image?,Hard
What is the sizes attribute on images?,Hard
What is the loading='lazy' attribute?,Easy
What is a CSS containment?,Hard
What is content-visibility: auto?,Hard
What is the render-blocking resource?,Medium
What is the async attribute on script?,Medium
What is the defer attribute on script?,Medium
What is font subsetting?,Medium
What is variable font?,Medium
What is font-display: swap?,Medium
What is resource hint: dns-prefetch?,Medium
What is resource hint: preconnect?,Medium
What is mockImplementation in Jest?,Medium
What is mockImplementationOnce?,Medium
What is jest.spyOn with mockRestore?,Medium
What is the moduleNameMapper in Jest config?,Medium
What is the transform config in Jest?,Medium
What is ts-jest?,Medium
What is @swc/jest?,Hard
What is the globals config in Jest?,Medium
What is testEnvironment in Jest?,Medium
What is setupFilesAfterFramework in Jest?,Medium
What is globalSetup/globalTeardown in Jest?,Medium
What is --testPathPattern in Jest?,Easy
What is --watch mode in Jest?,Easy
What is --coverage in Jest?,Easy
What is the coverage threshold in Jest?,Medium
What is Istanbul (nyc)?,Medium
What is a coverage report format?,Medium
What is the purpose of data-testid as last resort?,Medium
What is the getByTestId query?,Easy
What is the ByRole accessibility name?,Hard
What is the accessible name computation?,Hard
What is the name option in ByRole query?,Medium
What is the hidden option in ByRole query?,Hard
What is the level option in ByRole query?,Medium
What is the selected option in ByRole query?,Medium
What is the expanded option in ByRole query?,Medium
What is the pressed option in ByRole query?,Medium
What is the checked option in ByRole query?,Medium
What is the current option in ByRole query?,Hard
What is @testing-library/react testing Server Components?,Hard
What is the builder pattern for React components?,Hard
What is the factory pattern for React?,Hard
What is component intrinsic element types in TypeScript?,Hard
What is ComponentRef type in React 19?,Hard
What is ComponentPropsWithRef?,Hard
What is ComponentPropsWithoutRef?,Medium
What is the RefObject vs MutableRefObject?,Hard
What is React.HTMLAttributes?,Medium
What is the extends HTMLAttributes pattern?,Medium
What is the satisfies operator for component config?,Hard
What is a compound component example (Tabs)?,Medium
What is the Disclosure pattern?,Medium
What is the Combobox pattern?,Hard
What is the dialog/modal pattern in React?,Hard
What is focus trap?,Medium
What is react-focus-trap-zone?,Medium
What is the toast notification pattern?,Medium
What is the use-toast hook pattern?,Medium
What is the command palette pattern?,Medium
What is cmdk library?,Hard
What is the data grid component challenge?,Hard
What is @tanstack/table?,Medium
What is react-table's column definition?,Medium
What is the cell renderers pattern?,Easy
What is the pagination state in react-table?,Medium
What is server-side pagination?,Medium
What is the selection state in react-table?,Medium
What is column pinning in react-table?,Hard
What is react-virtuoso?,Medium
What is the groupedCounts in react-virtuoso?,Hard
What is React 19's use() hook main use case?,Hard
What does useId generate?,Medium
What is the problem useId solves?,Hard
What is the useSyncExternalStore getSnapshot?,Hard
What is useSyncExternalStore getServerSnapshot?,Hard
What is the selector pattern with useSyncExternalStore?,Hard
What is useFormStatus from react-dom?,Medium
What is useActionState (React 19)?,Hard
What is useOptimistic's update function?,Hard
What is the cleanup in useOptimistic?,Hard
What is the rule about custom hook naming?,Hard
What is a hook that implements exponential backoff?,Hard
What is a hook that tracks component render count?,Hard
What is the useEvent proposal (RFC)?,Hard
What is the Tearing problem useTransition doesn't fix?,Hard
What is atomWithSubscription custom hook pattern?,Hard
What is the window resize hook pattern?,Hard
What is the intersection observer hook?,Hard
What is the battery status hook?,Hard
What is the XState v5 improvement?,Hard
What is setup() in XState v5?,Hard
What is fromPromise in XState v5?,Hard
What is fromObservable in XState v5?,Hard
What is a state machine guard in XState v5?,Hard
What is assign action in XState?,Hard
What is the sendParent action in XState?,Hard
What is the spawnChild in XState v5?,Hard
What is the Zustand middleware signature?,Hard
What is the getState() method in Zustand?,Medium
What is Zustand's temporal middleware (zundo)?,Hard
What is the context bridge pattern for Zustand?,Hard
What is the Jotai Provider's store prop?,Hard
What is the Jotai debug label?,Hard
What is Recoil's useRecoilCallback?,Hard
What is Recoil snapshot?,Hard
What is the Recoil transact_UNSTABLE?,Hard
What is the global event bus pattern?,Hard
What is the state hydration problem with SSR?,Hard
What is the JSX transform in React 17+?,Hard
What is the jsxs function vs jsx?,Hard
What is the new JSX transform benefit?,Hard
What is the purpose of key in React.Fragment?,Medium
What is the React.Children.toArray benefit over spreading?,Hard
What is the React.cloneElement use for libraries?,Hard
What is the purpose of suppressHydrationWarning?,Hard
What is the dangerouslySetInnerHTML sanitization requirement?,Hard
What is the SVG viewBox casing in JSX?,Hard
What is the React Portal use case?,Medium
What is the event bubbling behavior with Portals?,Hard
What is JSX in TypeScript's generic gotcha?,Hard
What is the satisfies operator for JSX props?,Hard
What is the React.ReactNode type?,Hard
What is JSX.Element vs React.ReactElement?,Hard
What is the React.FC deprecation discussion?,Hard
What is the React.PropsWithChildren utility type?,Hard
What is the discriminated union for icon props?,Hard
What is the template literal type for CSS-in-TS?,Hard
What is the Tanstack Router's route tree generation?,Hard
What is the search param schema in Tanstack Router?,Hard
What is the createRootRoute in Tanstack Router?,Hard
What is Tanstack Router's RouterContext?,Hard
What is Tanstack Router's staleTime for loaders?,Hard
What is Tanstack Router's preload intent?,Hard
What is the Wouter library?,Hard
What is React Router v7's new data pattern?,Hard
What is the Network Waterfall problem in routing?,Hard
What is render-as-you-fetch pattern?,Hard
What is the fetch-on-render problem?,Hard
What is route-based code splitting benefit?,Hard
What is the history API pushState vs replaceState?,Medium
What is the popstate event?,Hard
What is hash routing limitation?,Hard
What is the basename option in BrowserRouter?,Hard
What is Next.js App Router vs Pages Router?,Hard
What is the Next.js parallel routes?,Hard
What is Next.js intercepting routes?,Hard
What is the hydration mismatch error?,Hard
What is the suppressHydrationWarning workaround?,Hard
What is React 18's hydrateRoot behavior?,Hard
What is deferred hydration?,Hard
What is the island hydration pattern?,Hard
What is the React 19 prerender API?,Hard
What is renderToPipeableStream benefit?,Hard
What is renderToReadableStream?,Hard
What is the onShellReady callback?,Hard
What is the onAllReady callback?,Hard
What is the shell in streaming SSR?,Hard
What is React Flight protocol?,Hard
What is RSC payload?,Hard
What is a client component in RSC?,Hard
What is a server component in RSC?,Hard
What is the composition pattern for RSC?,Hard
What is the RSC boundary rule?,Hard
What is React's cache() for RSC?,Hard
What is the Redux Toolkit v2 change?,Hard
What is the reducers field in RTK createSlice?,Hard
What is the selectors field in RTK createSlice?,Hard
What is RTK's createAppSlice?,Hard
What is the RTK Query v2 improvement?,Hard
What is the atomFamily cleanup requirement in Jotai?,Hard
What is Zustand v5 change?,Hard
What is the selector result equality in Reselect?,Hard
What is the createStructuredSelector in Reselect?,Hard
What is the RTK Query code generation tool?,Hard
What is the RTKQ generateReactHooks option?,Hard
What is the entityAdapter selectTotal?,Hard
What is the RTK listener's takeEvery?,Hard
What is the RTK listener's takeFirst?,Hard
What is a Redux action log middleware?,Hard
What is immutability enforcement in RTK?,Hard
What is the Redux Toolkit broadcast middleware?,Hard
What is the RTK createSlice callback syntax for reducers?,Hard
What is the RTK entityAdapter's many methods?,Hard
What is the React Compiler's opt-out?,Hard
What is the automatic memo boundary?,Hard
What is the concurrent rendering performance benefit?,Hard
What is useTransition for expensive state?,Hard
What is the React.memo vs useMemo difference?,Hard
What is the cost of over-memoization?,Hard
What is the browser paint performance bottleneck?,Hard
What is the React DevTools Profiler's record button?,Medium
What is the interaction timing in Profiler?,Hard
What is the JavaScript long task threshold?,Hard
What is the scheduler.yield() proposal?,Hard
What is the purpose of will-change: transform?,Hard
What is layout thrashing?,Hard
What is batch DOM reads and writes?,Hard
What is the Next.js edge runtime performance?,Hard
What is Partial Hydration vs Selective Hydration?,Hard
What is the purpose of HTTP/2 server push for React?,Hard
What is compression for React bundles?,Hard
What is the module/nomodule pattern?,Hard
What is Vitest vs Jest?,Hard
What is the Vitest ui flag?,Hard
What is Vitest's happy-dom?,Hard
What is browser mode in Vitest?,Hard
What is Playwright's component testing?,Hard
What is Storybook's interaction testing?,Hard
What is Chromatic?,Hard
What is Percy visual testing?,Hard
What is the test.each API in Jest/Vitest?,Hard
What is the describe.each API?,Hard
What is snapshot testing limitation?,Hard
What is the purpose of --updateSnapshot flag?,Hard
What is test coverage branch coverage?,Hard
What is the testing pyramid?,Hard
What is the testing trophy (Kent C. Dodds)?,Hard
What is contract testing purpose?,Hard
What is the fake indexedDB for tests?,Hard
What is the purpose of test.todo?,Hard
What is the test.skip vs test.only?,Hard
What is the Suspense list component?,Hard
What is SuspenseList's revealOrder?,Hard
What is SuspenseList's tail prop?,Hard
What is the Suspense + transition combination?,Hard
What is a render prop collection?,Hard
What is the controlled props pattern?,Hard
What is the state initializer pattern?,Hard
What is the reset counter pattern?,Hard
What is the prop comparison in React.memo?,Hard
What is the purpose of useImperativeHandle?,Hard
What is the imperative API pattern?,Hard
What is a list component abstraction?,Medium
What is an infinite scroll component?,Medium
What is the tree component pattern?,Hard
What is recursive component typing in TypeScript?,Hard
What is the Radix UI Primitive pattern?,Hard
What is the Base UI library?,Hard
What is Ark UI?,Hard
What is the purpose of a design token system?,Hard
What does ABAP stand for?,Easy
Which statement is used to define an internal table in ABAP?,Easy
What is a transparent table in ABAP?,Medium
What is a pooled table in ABAP?,Hard
What is a cluster table?,Hard
What keyword is used to loop over an internal table in ABAP?,Easy
What is a field symbol in ABAP?,Hard
How do you define a field symbol?,Medium
What is the purpose of SELECT * FROM in ABAP?,Easy
What is an ALV report?,Easy
What is the MODIFY statement used for in ABAP?,Medium
What is a function module in ABAP?,Easy
What is a BAPI?,Medium
What is an enhancement spot in ABAP?,Hard
What is a user exit in ABAP?,Medium
What is the BADI (Business Add-In) concept?,Hard
What is a SELECT-OPTIONS statement used for?,Medium
What is a PARAMETERS statement?,Easy
What is a CALL FUNCTION used for in ABAP?,Easy
What is the purpose of COMMIT WORK?,Medium
What is ROLLBACK WORK used for?,Medium
What is a FORM routine in ABAP?,Easy
What is an SAP Report transaction?,Easy
What is SE11 transaction used for?,Easy
What is SM30 used for?,Medium
What is ABAP OO (Object-Oriented)?,Medium
How is a class defined in ABAP OO?,Easy
What is an interface in ABAP OO?,Medium
What is exception handling in ABAP using?,Medium
What is a transport request?,Easy
What is an ABAP program type 'report'?,Easy
What is an include program in ABAP?,Medium
What is a function group in ABAP?,Medium
What is the DATA statement used for?,Easy
What is TYPES in ABAP?,Easy
What is a STRUCTURE in ABAP?,Easy
What is a WORK AREA (wa) in ABAP?,Medium
How do you insert a record into an internal table?,Easy
What is a SORTED TABLE type in ABAP?,Medium
What is a HASHED TABLE in ABAP?,Hard
What is AT SELECTION-SCREEN used for?,Hard
What is WRITE statement in ABAP?,Easy
What is a BDC (Batch Data Communication)?,Hard
What is the purpose of the AUTHORITY-CHECK statement?,Medium
What is SU24 transaction?,Hard
What is SUBMIT in ABAP?,Medium
What is MESSAGE statement?,Easy
What is a package (formerly development class) in ABAP?,Easy
What is the transaction SE80?,Medium
What is a module pool in ABAP?,Hard
What is DYNPRO?,Hard
What is GUI status in ABAP screens?,Hard
What does READ TABLE do in ABAP?,Easy
What is a secondary index in ABAP tables?,Hard
What is OPEN SQL in ABAP?,Easy
What is native SQL in ABAP?,Hard
What is the EXEC SQL...ENDEXEC block?,Hard
What is a database view in ABAP Dictionary?,Medium
What is a maintenance view?,Hard
What is ABAP unit testing?,Hard
What is the ABAP Test Cockpit (ATC)?,Hard
What is a WHERE clause in ABAP SELECT?,Easy
What is GROUP BY in ABAP SELECT?,Medium
What is ORDER BY in ABAP SELECT?,Easy
What is HAVING in ABAP SELECT?,Hard
What is a JOIN in ABAP SELECT?,Medium
What is INNER JOIN?,Easy
What is LEFT OUTER JOIN?,Medium
What is FOR ALL ENTRIES in ABAP?,Hard
What is the danger with FOR ALL ENTRIES?,Hard
What is a COLLECT statement?,Hard
What is DESCRIBE TABLE used for?,Medium
What is REFRESH in ABAP?,Easy
What is FREE in ABAP?,Medium
What is SORT statement in ABAP?,Easy
What is DELETE ADJACENT DUPLICATES?,Hard
What is a SPOOL request in SAP?,Medium
What is SM37 transaction?,Medium
What is a variant in ABAP?,Easy
What is transaction SE93?,Hard
What is TCODE in SAP?,Easy
What is the SAP basis layer?,Hard
What is a work process in SAP?,Hard
What is ABAP push channel (APC)?,Hard
What is CDS (Core Data Services) view?,Hard
What are CDS associations?,Hard
What is AMDP?,Hard
What is RAP (RESTful ABAP Programming)?,Hard
What is a Behavior Definition in RAP?,Hard
What is an OData service?,Medium
What is transaction SEGW?,Hard
What is SAP Fiori?,Easy
What is a Fiori Launchpad?,Easy
What is the difference between classic ABAP and ABAP Cloud?,Hard
What is clean core in SAP?,Hard
What is SAP HANA?,Easy
What is the primary advantage of SAP HANA's in-memory storage?,Easy
What is columnar storage in HANA?,Medium
What is the difference between row store and column store in HANA?,Hard
What is an SAP HANA Studio?,Medium
What is SAP HANA Cockpit?,Medium
What is a calculation view in HANA?,Medium
What is an analytic view in HANA (deprecated)?,Hard
What is an attribute view in HANA (deprecated)?,Hard
What is HANA SDA (Smart Data Access)?,Hard
What is HANA SDI (Smart Data Integration)?,Hard
What is an HANA stored procedure?,Medium
What is SQLScript?,Medium
What is a HANA table function?,Hard
What is HANA dynamic tiering?,Hard
What is a partition in HANA?,Medium
What are partition types in HANA?,Hard
What is a HANA schema?,Easy
What is a technical user in HANA?,Medium
What is the GRANT statement in HANA?,Easy
What is a HANA role?,Easy
What is an analytic privilege in HANA?,Hard
What is HANA transport (CTS+)?,Hard
What is a HANA delta buffer?,Hard
What is the HANA main store?,Hard
What is HANA delta merge?,Hard
What is compression in HANA column store?,Hard
What does EXPLAIN PLAN do in HANA?,Medium
What is a HANA index?,Easy
What is a full-text index in HANA?,Hard
What is geospatial processing in HANA?,Hard
What is SAP HANA Predictive Analysis Library (PAL)?,Hard
What is SAP HANA Automated Predictive Library (APL)?,Hard
What is SAP BW/4HANA?,Medium
What is S/4HANA?,Easy
What is the difference between S/4HANA and ECC?,Medium
What is HANA XS (Extended Application Services)?,Hard
What is XS Advanced (XSA)?,Hard
What is SAP HANA Cloud?,Easy
What is the HANA system landscape?,Medium
What is HANA backup and recovery?,Easy
What is HANA system replication?,Hard
What is the HANA log volume?,Hard
What is the HANA data volume?,Easy
What is a multitenant database container (MDC) in HANA?,Hard
What is the system database in HANA MDC?,Hard
What is HANA tenant database?,Hard
What is monitoring in HANA?,Easy
What is an alert in HANA?,Easy
What is the HANA Statistics Server?,Hard
What is SAP HANA Academy?,Easy
What is a HANA database user?,Easy
What is REVOKE in HANA SQL?,Easy
What is a HANA sequence?,Medium
What is a synonym in HANA?,Medium
What is a virtual table in HANA SDA?,Hard
What is HANA replication (SLT)?,Hard
What is the difference between load vs replicate in SLT?,Hard
What is a HANA graph workspace?,Hard
What is HANA streaming analytics?,Hard
What is SAP Data Intelligence?,Hard
What is a HANA table type?,Medium
What are global temporary tables in HANA?,Hard
What is a local temporary table in HANA?,Hard
What is SELECT ... FOR UPDATE in HANA?,Hard
What is MVCC (Multi-Version Concurrency Control) in HANA?,Hard
What is the unified delta in SAP HANA 2.0?,Hard
What is HANA NSE (Native Storage Extension)?,Hard
What is the difference between HANA 1.0 SPS and HANA 2.0?,Hard
What is the transaction for HANA System Overview in Cockpit?,Hard
What is DBACOCKPIT in SAP?,Medium
What is connection pool in HANA?,Hard
What is the HANA workload class?,Hard
What is a HANA admission control?,Hard
What is the HANA SQL trace?,Medium
What is the expensive statement trace in HANA?,Hard
What is kernel profiler in HANA?,Hard
What is HANA Extended Surveillance?,Hard
What is SAP Solution Manager (SolMan) role with HANA?,Medium
What is HANA platform lifecycle management?,Medium
What is SUM (Software Update Manager) for HANA?,Hard
What is HANA import/export?,Medium
What is the HANA HDB command?,Hard
What is hdbsql?,Hard
What is the SAP HANA Hardware Directory?,Easy
What is HANA TDI (Tailored Datacenter Integration)?,Hard
What is HANA Appliance?,Medium
What is SAP HANA Spatial Reference System?,Hard
What is the column store index advisor in HANA?,Hard
What is a table redistribution in HANA scale-out?,Hard
What is a HANA scale-out system?,Hard
What is standby host in HANA scale-out?,Hard
What is a HANA persistence layer?,Hard
What is a HANA savepoint?,Hard
What is row-store locking in HANA?,Hard
What is the HANA license key?,Easy
What is the memory limit in HANA configuration?,Hard
What is SAP BASIS?,Easy
What is a SAP landscape?,Easy
What is the SAP three-tier architecture?,Easy
What is a transport route in SAP?,Easy
What is STMS transaction?,Easy
What is the CTO role in transport management?,Hard
What is a client in SAP?,Easy
What is the difference between system copy and client copy?,Hard
What is SCC4 transaction?,Hard
What is the SAP kernel?,Hard
What is a work process in SAP?,Medium
What is SM50 transaction?,Medium
What is SM51 transaction?,Medium
What is an enqueue work process?,Hard
What is a message server?,Medium
What is a SAP gateway?,Medium
What is RFC (Remote Function Call)?,Easy
What is SM59 transaction?,Medium
What is a logon group in SAP?,Medium
What is transaction SU01?,Easy
What is transaction PFCG?,Medium
What is an authorization profile?,Medium
What is SU53?,Hard
What is ST22 transaction?,Medium
What is SM21 transaction?,Medium
What is a short dump in SAP?,Easy
What is a batch job in SAP?,Easy
What is SM36 transaction?,Medium
What is SM37 transaction?,Easy
What is spooling in SAP?,Easy
What is SP01 transaction?,Medium
What is a table buffer in SAP?,Hard
What is RZ10 transaction?,Medium
What is a system profile in SAP?,Medium
What is the DEFAULT.PFL profile?,Hard
What is CCMS (Computer Center Management System)?,Hard
What is RZ20 transaction?,Hard
What is solution manager early watch alert?,Hard
What is SAPNetWeaver?,Medium
What is the ABAP stack in NetWeaver?,Medium
What is the J2EE/Java stack in NetWeaver?,Medium
What is SSO (Single Sign-On) in SAP?,Medium
What is SNC (Secure Network Communication)?,Hard
What is HTTPS in SAP web applications?,Easy
What is ICM (Internet Communication Manager)?,Hard
What is the ICM monitor (SMICM)?,Hard
What is a kernel patch in SAP?,Medium
What is a Support Package (SP)?,Easy
What is SPAM transaction?,Medium
What is SUM (Software Update Manager)?,Medium
What is an SAP note?,Easy
What is SNOTE transaction?,Medium
What is a client transport in SAP?,Medium
What is SCC1 transaction?,Hard
What is SMLG transaction?,Hard
What is an instance in SAP?,Medium
What is a central instance?,Hard
What is an additional application server (AAS)?,Hard
What is ASCS (ABAP Central Services)?,Hard
What is a rolling kernel switch?,Hard
What is system downtime in SAP?,Easy
What is HA (High Availability) in SAP?,Medium
What is DR (Disaster Recovery)?,Easy
What is an SAP router?,Hard
What is saprouter used for?,Hard
What is BASIS housekeeping?,Easy
What is DB02 transaction?,Medium
What is ST05 transaction?,Hard
What is ST12 transaction?,Hard
What is the SAP system ID (SID)?,Easy
What is the system number in SAP?,Easy
What is client 000 used for?,Hard
What is client 001 used for?,Hard
What is an IDOC (Intermediate Document)?,Medium
What is transaction BD87?,Hard
What is XI/PI (SAP NetWeaver Process Integration)?,Medium
What is SAP CPI (Cloud Platform Integration)?,Medium
What is change and transport system (CTS)?,Easy
What is the transport domain?,Medium
What is a consolidation route?,Medium
What is a delivery route?,Medium
What is the tp command?,Hard
What is R3trans?,Hard
What is BDLS transaction?,Hard
What is background work process (BTC)?,Easy
What is an update work process (UPD)?,Medium
What is a dialog work process (DIA)?,Easy
What is SM04 transaction?,Medium
What is AL08 transaction?,Hard
What is the alert monitor (RZ20)?,Medium
What is JAVA stack administration tool?,Hard
What is the SAP MMC (Microsoft Management Console)?,Hard
What is sapcontrol command?,Hard
What does SAP FI stand for?,Easy
What is the General Ledger (G/L) in SAP FI?,Easy
What is a company code in SAP?,Easy
What is the fiscal year variant?,Medium
What is a posting period in SAP FI?,Easy
What is transaction OB52 used for?,Hard
What is a chart of accounts?,Easy
What is an operational chart of accounts?,Medium
What is account type in SAP FI?,Medium
What is a document type in SAP FI?,Medium
What is a posting key?,Medium
What is the reconciliation account in SAP FI?,Hard
What is the accounts payable (AP) sub-ledger?,Easy
What is the accounts receivable (AR) sub-ledger?,Easy
What is a vendor master record?,Easy
What is a customer master record?,Easy
What is the purpose of tolerance groups in FI?,Hard
What is bank reconciliation in SAP FI?,Medium
What is the electronic bank statement (EBS) in SAP?,Hard
What is a clearing account?,Medium
What is GR/IR clearing account?,Hard
What is the three-way match in SAP?,Hard
What is transaction FB50?,Medium
What is transaction F-02?,Medium
What is transaction FB60?,Easy
What is transaction F-43?,Medium
What is transaction F-28?,Medium
What is transaction F-53?,Medium
What is the payment run in SAP FI?,Easy
What is transaction F110?,Medium
What is a dunning process in SAP?,Medium
What is transaction F150?,Hard
What is asset accounting (FI-AA)?,Easy
What is depreciation in asset accounting?,Easy
What is transaction AS01?,Easy
What is transaction AFAB?,Medium
What is special G/L indicator?,Hard
What is a down payment in SAP FI?,Medium
What is a credit memo in SAP FI?,Easy
What is a goods receipt (GR) document?,Easy
What is the controlling area in SAP?,Medium
What is transaction OBA7?,Hard
What is a financial statement version?,Medium
What is transaction F.01?,Hard
What is a parallel ledger in SAP?,Hard
What is New G/L (New General Ledger)?,Hard
What is document splitting?,Hard
What is a segment in New G/L?,Hard
What is profit center accounting (PCA)?,Medium
What is cost center accounting?,Medium
What is transaction KS01?,Medium
What is a cost element in SAP CO?,Medium
What is primary cost element?,Medium
What is a secondary cost element?,Hard
What is internal order in SAP CO?,Medium
What is a settlement in SAP CO?,Hard
What is a distribution cycle in CO?,Hard
What is an assessment cycle in CO?,Hard
What is profitability analysis (CO-PA)?,Hard
What is product costing?,Medium
What is a standard cost estimate?,Medium
What is variance calculation in SAP CO?,Medium
What is COGS (Cost of Goods Sold)?,Easy
What is transaction KE30?,Hard
What is the SAP General Ledger (FI-GL) account balance?,Easy
What is transaction FS10N?,Medium
What is transaction FBL3N?,Medium
What is transaction FBL1N?,Medium
What is transaction FBL5N?,Medium
What is transaction FB08?,Medium
What is a reversal document in SAP FI?,Easy
What is transaction MIRO?,Medium
What is the Logistics Invoice Verification (LIV)?,Medium
What is a payment block in SAP?,Easy
What is a baseline date in vendor payment terms?,Hard
What is net due date?,Easy
What is a cash discount in FI?,Easy
What is a tax code in SAP FI?,Medium
What is transaction OB40?,Hard
What is a foreign currency revaluation?,Hard
What is transaction FAGL_FC_VAL?,Hard
What is GR/IR account?,Medium
What is a substitution in SAP FI?,Hard
What is a validation in SAP FI?,Hard
What is SAP S/4HANA Finance?,Hard
What is the Universal Journal in S/4HANA?,Hard
What is transaction FAGLL03 in S/4HANA?,Hard
What is Credit Management in SAP FI-AR?,Medium
What is transaction FD32?,Hard
What is a noted item in SAP FI?,Hard
What is a parked document in SAP FI?,Medium
What is transaction FBV0?,Hard
What is an accrual in SAP FI?,Medium
What is the accrual engine in SAP?,Hard
What is a balance sheet in SAP FI?,Easy
What is the P&L statement?,Easy
What does SAP CO stand for?,Easy
What is the primary purpose of SAP CO?,Easy
What is a controlling area?,Easy
What is a cost center?,Easy
What is a profit center?,Easy
What is an internal order in CO?,Easy
What is a WBS (Work Breakdown Structure) element?,Medium
What is a cost element?,Easy
What is a primary cost element?,Medium
What is a secondary cost element?,Medium
What is an activity type in CO?,Medium
What is a statistical key figure?,Medium
What is the purpose of distribution in CO?,Medium
What is the purpose of assessment in CO?,Medium
What is a periodic repost in CO?,Hard
What is actual cost accounting?,Easy
What is plan/budget in CO?,Easy
What is transaction KP06?,Medium
What is variance analysis in CO?,Easy
What is target cost?,Hard
What is a costing run in CO?,Medium
What is standard cost estimate?,Easy
What is the cost of goods manufactured (COGM)?,Hard
What is cost of goods sold (COGS)?,Easy
What is CO-PC (Product Costing)?,Easy
What is CO-PA (Profitability Analysis)?,Easy
What is costing-based CO-PA?,Hard
What is account-based CO-PA?,Hard
What is transaction KE24?,Hard
What is a CO document?,Easy
What is the relationship between FI and CO in SAP?,Medium
What is the reconciliation ledger?,Hard
What is transaction KB11N?,Hard
What is transaction KB21N?,Hard
What is transaction KB31N?,Hard
What is the cost center hierarchy?,Medium
What is transaction OKEON?,Hard
What is transaction KS03?,Easy
What is transaction KOB1?,Hard
What is a settlement rule?,Medium
What is settlement in CO?,Medium
What is transaction KO88?,Hard
What is overhead in CO?,Easy
What is overhead costing sheet?,Hard
What is activity price calculation?,Hard
What is transaction KSPI?,Hard
What is a budget in CO?,Easy
What is budget availability control?,Hard
What is transaction KO30?,Hard
What is commitment in CO?,Hard
What is a cost object?,Easy
What is period-end closing in CO?,Medium
What is the CO period-end sequence?,Hard
What is the CO integration with MM?,Medium
What is the CO integration with PP (Production Planning)?,Medium
What is the CO integration with SD?,Medium
What is a cost collector?,Hard
What is actual costing/material ledger?,Hard
What is price determination in material ledger?,Hard
What is transaction MR21?,Hard
What is CCA (Cost Center Accounting)?,Easy
What is OPA (Order and Project Accounting)?,Medium
What is PCA (Profit Center Accounting)?,Easy
What is transaction 1KE8?,Hard
What is a template allocation in CO?,Hard
What is transfer price in CO?,Hard
What is contribution margin?,Medium
What is break-even analysis in CO?,Medium
What is fixed cost vs variable cost in CO?,Easy
What is a rollup in CO hierarchy?,Medium
What is transaction S_ALR_87013611?,Hard
What is transaction KSB1?,Medium
What is transaction GR55?,Hard
What is CO-OM (Overhead Management)?,Medium
What is a resource in CO?,Hard
What is cost splitting in CO?,Hard
What is actual overhead rate?,Hard
What is FICO integration?,Easy
What is document number range in CO?,Medium
What is transaction OKB9?,Hard
What is TCODE KE30 used for?,Hard
What is an EC-PCA vs CO-PA?,Hard
What is transaction 3KEH?,Hard
What is a cost split in CO master data?,Hard
What is transaction CKMVFM in material ledger?,Hard
What is the cost component structure?,Hard
What is process costing in CO?,Hard
What is CK11N transaction?,Medium
What is CK40N transaction?,Hard
What is marking a cost estimate?,Hard
What is releasing a cost estimate?,Hard
What is a cost estimate with quantity structure?,Hard
What is the purpose of KKAX transaction?,Hard
What does SAP MM stand for?,Easy
What is the purpose of SAP MM?,Easy
What is a material master?,Easy
What is a vendor master in MM?,Easy
What is a purchase requisition (PR)?,Easy
What is a purchase order (PO)?,Easy
What is goods receipt (GR)?,Easy
What is goods issue (GI)?,Easy
What is a transfer posting?,Medium
What is a material document?,Easy
What is an accounting document in MM?,Medium
What is MIGO transaction?,Easy
What is transaction ME21N?,Easy
What is transaction ME51N?,Easy
What is transaction ME11?,Medium
What is a purchasing info record?,Medium
What is a source list in SAP MM?,Medium
What is a contract in SAP MM?,Medium
What is a scheduling agreement?,Hard
What is a framework order (blanket PO)?,Hard
What is the three-way match in MM?,Medium
What is invoice verification in MM?,Medium
What is the GR/IR account?,Medium
What is a material type?,Easy
What is a plant in SAP?,Easy
What is a storage location?,Easy
What is a warehouse management (WM) system?,Medium
What is a batch in SAP MM?,Medium
What is batch management?,Medium
What is consignment stock?,Hard
What is subcontracting in SAP MM?,Hard
What is a third-party order?,Hard
What is a stock transfer order?,Medium
What is STO (Stock Transfer Order)?,Medium
What is MRP (Material Requirements Planning)?,Medium
What is transaction MD01?,Medium
What is a planned order?,Medium
What is a reorder point?,Easy
